,address,lat,lon,title
79,"No.240 Guangming Road, Beitou District, Taipei 112, Taiwan ",25.13626,121.50733,Golden Hot Spring Hotel
80,"No.139 Section 2, Zhongshan North Road, Zhongshan District, Taipei, Taiwan ",25.06182,121.52307,K Hotel Taipei II
81,"No.7, Sec 2, Jianguo North Road, Taipei 10487, Taiwan ",25.05272,121.53703,Capital Hotel
82,"No.147 Fuxing North Road, Songshan District, Taipei 10547, Taiwan ",25.05371,121.54423,THE Tango Taipei FuHsing
83,"No.52 Section 1, Jianguo North Road, Taipei 104, Taiwan ",25.04794,121.53625,Beauty Hotels Taipei - Hsuanmei Boutique
84,"No.102 Wenlin Road, Shihlin District, Taipei 111, Taiwan (Formerly Grandee Taipei Hotel)",25.087833,121.52617,Les Suites Taipei Grandee
85,"No.266 Section1, Jianguo South Road, Taipei 106, Taiwan ",25.03664,121.53743,"Fullon Hotel Taipei, Central"
86,"No.31 Sec 1, Zhongxiao East Road, Taipei 100, Taiwan ",25.044554,121.52551,Hotel Cozzi Zhongxiao
87,"No.111, Sec. 1, Chongqing South Road, Taipei 100, Taiwan ",25.042814,121.51341,Beauty Hotels Taipei - Hotel B7
88,"No.156 Section 4, Nanjing East Road, Songshan District, Taipei, Taiwan (Formerly Donghwa Hotel)",25.05148,121.55626,Capital Hotel Nanjing
89,"No.15 Lane 83, Section1, Chungshan North Road, Taipei 10446, Taiwan ",25.04994,121.52433,THE Tango Taipei LinSen
90,"7F, No. 72, Sec. 2, Wuchang Street, Taipei 108, Taiwan (Formerly Go Sleep Wuchang)",25.04493,121.50623,Design Ximen Hotel
91,"No.80 Linsen North Road, Zhongshan District, Taipei 10441, Taiwan ",25.049465,121.524605,THE Tango Taipei ChangAn
92,"No.52, Ln. 4, Dunhua N. Rd., Songshan Dist.,, Taipei 105, Taiwan ",25.050182,121.54489,Simple+ Hotel
93,"No.111 Section 3, Minsheng East Road, Songshan Dist., Taipei 105, Taiwan ",25.058088,121.54586,The Sherwood Taipei
94,"No. 83, Sec. 4, Roosevelt Road, Da'an District, Taipei 10673, Taiwan (Formerly Leader Hotel)",25.135916,121.56369,Just Sleep @ NTU
95,"No.9 Section 2, Fusing South Road, Taipei 10665, Taiwan ",25.032745,121.54373,Fu Hau Hotel
96,"No.566 Section 2, Ti-Ding Blvd.,(No.3 Exit at MRT Jiangnanroad Station), Taipei, Taiwan ",25.088037,121.65958,S-aura Hotel
97,"No.63 Wenquan Road, Beitou District, Taipei, Taiwan ",25.13509,121.50468,Aqua Bella Hotel
98,"No.168 Changchun Road, Taipei, Taiwan ",25.054686,121.53336,Leofoo Hotel
99,"No.8 Section 3, Jhongsiao Eest Road, Daan District, Taipei 106, Taiwan ",25.04217,121.53356,KDM Hotel
100,"No.38-1 Qiangang Street, Shilin District, Taipei 111, Taiwan ",25.084833,121.52116,Beauty Hotels Taipei - Starbeauty Resort
101,"No.315 Fusing North Road, Songshan District, Taipei 105, Taiwan ",25.059078,121.54442,Taipei Fullerton Hotel Fuxing North
