,address,lat,lon,title
207,"No. 199, Lequn 2nd Road, Taipei, Taiwan, Taipei 10462, Taiwan ",25.080334,121.55896,Taipei Marriott Hotel
211,"No.16 Section 3, Nanjing East Road, Zhongshan District, Taipei 10489, Taiwan ",25.05179,121.53758,U Hotel Taipei - Nanjing East Road
215,"No.181 Section 2, ChungShan North Road, Zhongshan District, Taipei 104, Taiwan ",25.06323,121.52265,Sansui Hotel
218,"No.16 Lane 107 Linshen North Road, Zhongshan District, Taipei 104, Taiwan ",25.05015,121.52573,Liz Hotel
229,"No. 1 Shuangcheng St., Zhongshan Dist., Taipei 104, Taiwan ",25.062925,121.52455,Aloft Taipei Zhongshan
238,"No.10 Jinzhou Street, Zhongshan District, Taipei 104, Taiwan ",25.06035,121.5238,Gwo Shiuan Hotel
240,"No.55-1 Section 4, Nanking East Road, Songshan District, Taipei 104, Taiwan (Formerly Hondo Hotel)",25.05185,121.55239,Capital Hotel Arena
247,"3F., No.282 Linsen North Road, Taipei 10450, Taiwan ",25.055502,121.52533,E Hotel
263,"No.1-2 Zhongshan Road, Beitou District, Taipei 112, Taiwan ",25.137383,121.50881,Pink Lotus Hotel
264,"No.93 Section 2, Chienkuo North Road, Taipei 104, Taiwan (Formerly Shang Hao Hotel)",25.05874,121.53717,RF Pretty Hotel
275,"No.40 Zhong He Street, Taipei 112, Taiwan ",25.13821,121.5026,E-JIA Service Apartment
279,"No. 199, Lequn 2nd Road, Taipei, Taiwan, Taipei 10462, Taiwan ",25.080334,121.55896,Taipei Marriott Hotel
284,"No.2 Min Chuan East Road, Section 3, Taipei 10464, Taiwan ",25.05784,121.53752,Hotel Taipei Miramar
286,"1F, No. 31, Fushun Street, Taipei 104, Taiwan ",25.063555,121.52007,Inn Cube- Minquan
288,"No.112 Xining South Road, Wanhua District, Taipei 108, Taiwan ",25.04156,121.506,Neijiang Hotel
296,"3F, No.468, Section 4, Xinyi Road, Xinyi District, Taipei 110, Taiwan ",25.03298,121.55913,AT Boutique Hotel
303,"No.30-148-20 Yongji Road, Xinyi District, Taipei 110, Taiwan ",25.042774,121.567696,EnRich House
315,"5F., No.95-1, Songjiang Rd., Taipei 104, Taiwan ",25.050898,121.533325,Free An Hotel
324,"3F, No.71, Section 2, Zhongshan North Road, Zhongshan District, Taipei 104, Taiwan ",25.05728,121.52305,Beauty Hotels Taipei - Hotel Bstay
330,"No.385 Hsin-Yi Road, Section 4, Sinyi Road Sinyi District, Taipei 110, Taiwan ",25.03314,121.55813,Royal Best Suites
333,"No.10 Lane 107, Linsen North Road, Taipei 104, Taiwan ",25.0502,121.52546,Taipei Hotel New Moon
337,"No.485 Songjiang Road, Taipei 104, Taiwan ",25.0672,121.53338,Green World Hotel Song Jiang
344,"No.299 Lequn 2nd Road, Zhongshan District, Taipei 104, Taiwan ",25.079975,121.56104,istaytion-Rome Holiday Station
352,"2F., No.9, Lane 259 Linsen North Road, Zhongshan District, Taipei 10450, Taiwan ",25.05434,121.52606,Beauty Hotels Taipei - Hotel Bfun
353,"No.15-2, Sec. 2, Keelung Rd, Taipei 110, Taiwan ",25.02918,121.55725,HolyPro Boutique Hotel
355,"No.673 Linsen North Road, Zhongshan District, Taipei 104, Taiwan ",25.06817,121.52578,Hotel Prima Casa
370,"No.9 Peitou Road, Section 2, Peitou District, Taipei 112, Taiwan ",25.13076,121.49917,Chinatrust Executive Suites Peitou
374,"No.110 Jhongpo North Road, Nangang District, Taipei 115, Taiwan ",25.04873,121.58018,Hau Shuang Hotel Taipei
378,"No.143 Chue Chun Road, Taipei 104, Taiwan ",25.053928,121.53905,Happy Family Hostel II
380,"No.153 Songshan Road, Xinyi District, Taipei 110, Taiwan ",25.04653,121.57789,Wonstar Hotel (Songshan)
384,"No.25 Quanyuan Road, Beitou District, Taipei 112, Taiwan ",25.13936,121.50602,Longbon Resort Beitou
392,"No.7 Lane 21, Zhang street , Shilin District, Taipei 112, Taiwan (Formerly Tianmu Star Urban Living Serviced Apartment)",25.114,121.514336,Yangming Service Apartment
399,"3F, No.34 Nong'an Street, Jhongshan District, Taipei 104, Taiwan (Formerly Nongan Hotel)",25.0649,121.52682,Cai She Hotel
404,"3F,No.30,Lane 183, Section 2, Zhongshan North Road, Zhongshan District, Taipei 104, Taiwan ",25.06367,121.52419,Dongfangdi Hotel
406,"No.8 Lane 133, Linsen North Road, Zhongshan District, Taipei 10454, Taiwan ",25.051096,121.52517,Rose Hotel Linsen
407,"No.283 Guang Ming Road, Peitou District, Taipei 112, Taiwan ",25.136951,121.511,Spa World Spring Resort
420,"No.258 Guangming Road, Beitou District, Taipei 112, Taiwan ",25.1368,121.50934,Atami Hotel Taipei Onsen
451,"No.108 Sec 2, Nanjing E. Rd.,, Taipei 104, Taiwan ",25.05196,121.53208,I Station-Midtown Apartment
466,"2-5F, No.262 Wolong Street, Taipei 110, Taiwan ",25.01768,121.55796,Lucky Apartment TWTC Linguang
477,"No.17 Quanyuan Road, Beitou District, Taipei 112, Taiwan ",25.13825,121.50455,Shan Yue Hotspring Hotel Taipei
486,"1F-10F, No.293 Songjiang Road, Zhongshan District, Taipei 104, Taiwan ",25.06061,121.53339,Taipei Easy Stay Inn - Serviced Apartment SJ-293
495,"No.64 Section 1, ChangAn East Road, Taipei 104, Taiwan ",25.048027,121.52942,Ambience Hotel
498,"No.2 SongShou Road, Xinyi District, Taipei 110, Taiwan ",25.03564,121.56262,Grand Hyatt Taipei
499,"No.1 Section 4, Chung Shan North Road, Taipei 104, Taiwan ",25.0785,121.526,Grand Hotel Taipei
500,"No.3, Lane 39, Section 2, Chungshan North Road, Taipei 104, Taiwan (Formerly The Regent Taipei)",25.054157,121.52435,Regent Taipei
507,"No.10 Section 5, Zhongxiao East Road, Xinyi District, Taipei 110, Taiwan ",25.040604,121.56546,W Taipei
517,"No.37-1, Section 2, Chung Shan North Road, Taipei 104, Taiwan ",25.05372,121.52277,Hotel Royal-Nikko Taipei
522,"No.41 Min Chuan East Road, Section 2, Taipei 104, Taiwan ",25.062574,121.52999,Landis Taipei Hotel
523,"No.359 Linsen North Road, Taipei 104, Taiwan ",25.05724,121.52553,Gloria Residence
